symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
AROGRANITE,NSE,AROGRANITE.NS,Aro Granite Ind.,AROGRANITE|Aro Granite Ind.|Aro Granite Ind. Limited,,INE210C01013,14557,IIFL_SCRIPMASTER
ARROWGREEN,NSE,ARROWGREEN.NS,Arrow Greentech,ARROWGREEN|Arrow Greentech|Arrow Greentech Limited,,INE570D01018,9260,IIFL_SCRIPMASTER
ARTNIRMAN,NSE,ARTNIRMAN.NS,Art Nirman,ARTNIRMAN|Art Nirman|Art Nirman Limited,,INE738V01013,6156,IIFL_SCRIPMASTER
AEPL,NSE,AEPL.NS,Artemis Electricals & P L,AEPL|Artemis Electricals & P L,,INE757T01025,761330,IIFL_SCRIPMASTER
ARTEMISMED,NSE,ARTEMISMED.NS,Artemis Med Service,ARTEMISMED|Artemis Med Service|Artemis Med Service Limited,,INE025R01021,16913,IIFL_SCRIPMASTER
ARVEE,NSE,ARVEE.NS,Arvee Laboratories I,ARVEE|Arvee Laboratories I|Arvee Laboratories I Limited,,INE006Z01016,2814,IIFL_SCRIPMASTER
ARVIND,NSE,ARVIND.NS,Arvind,ARVIND|Arvind|Arvind Limited,,INE034A01011,193,IIFL_SCRIPMASTER
ARVINDFASN,NSE,ARVINDFASN.NS,Arvind Fashions,ARVINDFASN|Arvind Fashions|Arvind Fashions Limited,,INE955V01021,9111,IIFL_SCRIPMASTER
ARVSMART,NSE,ARVSMART.NS,Arvind Smartspaces,ARVSMART|Arvind Smartspaces|Arvind Smartspaces Limited,,INE034S01021,10457,IIFL_SCRIPMASTER
ASAHIINDIA,NSE,ASAHIINDIA.NS,Asahi India Glass,ASAHIINDIA|Asahi India Glass|Asahi India Glass Limited,,INE439A01020,5378,IIFL_SCRIPMASTER
ASAHISONG,NSE,ASAHISONG.NS,Asahi Songwon Color,ASAHISONG|Asahi Songwon Color|Asahi Songwon Color Limited,,INE228I01012,25088,IIFL_SCRIPMASTER
ASHAPURMIN,NSE,ASHAPURMIN.NS,Ashapura Minechem,ASHAPURMIN|Ashapura Minechem|Ashapura Minechem Limited,,INE348A01023,203,IIFL_SCRIPMASTER
ASHIANA,NSE,ASHIANA.NS,Ashiana Housing,ASHIANA|Ashiana Housing|Ashiana Housing Limited,,INE365D01021,24403,IIFL_SCRIPMASTER
ASHIKA,NSE,ASHIKA.NS,Ashika Credit Capital L,ASHIKA|Ashika Credit Capital L,,INE094B01013,762548,IIFL_SCRIPMASTER
ASHIMASYN,NSE,ASHIMASYN.NS,Ashima,ASHIMASYN|Ashima|Ashima Limited,,INE440A01010,206,IIFL_SCRIPMASTER
ASHOKLEY,NSE,ASHOKLEY.NS,Ashok Leyland,ASHOKLEY|Ashok Leyland|Ashok Leyland Limited,,INE208A01029,212,IIFL_SCRIPMASTER
ASHOKA,NSE,ASHOKA.NS,Ashoka Buildcon,ASHOKA|Ashoka Buildcon|Ashoka Buildcon Limited,,INE442H01029,20182,IIFL_SCRIPMASTER
ASHOKAMET,NSE,ASHOKAMET.NS,Ashoka Metcast,ASHOKAMET|Ashoka Metcast|Ashoka Metcast Limited,,INE760Y01011,16943,IIFL_SCRIPMASTER
ASIANENE,NSE,ASIANENE.NS,Asian Energy Services,ASIANENE|Asian Energy Services|Asian Energy Services Limited,,INE276G01015,7030,IIFL_SCRIPMASTER
